#main layout
"About";"Quant a"
"Contact";"Contacte"
"Legal";"Avís legal"
"Terms";"Temes d'ús"
"Privacy";"Política de privacitat"
"Report link";"Reclamar enllaç"
"Source code";"Codi font"
"files indexed";"arxius indexats"
"Last indexed files";"Darrers arxius indexats"
"I. Want. That. File.";"Vull. Aquest. Arxiu."

#search
"Search";"Cercar"
"All";"Tots"
"Direct downloads";"Descàrregues directes"
"Audio";"Àudio"
"Video";"Vídeo"
"Image";"Imatge"
"Document";"Document"
"Software";"Programari"
"Archive";"Arxiu"
"No results for:";"No hi ha resultats per:"
"Hey! Write something";"Ep! Escriu alguna cosa"
"Previous";"Anterior"
"Next";"Següent"
"sources";"fonts"
"of about";"d'aprox."
"results for";"resultats per"
"NoTypeCount";"No s'hi han trobat resultats de <i>%s</<i>, però existeixen aproximadament %d resultats per a la seva cerca en <a href='%s'>altres categories</a>."
"Foofind does not allow browse results after page 1000.";"Foofind no permet navegar resultats posteriors a la pàgina 1000."
"How to download?";"Com fer la descàrrega?"
"DownloadExplanation";"Per descarregar l'arxiu enllaçat en aquesta pàgina es pot necessitar un software extern. Aquí tens alguns programes compatibles:"
"Did you mean %s?";"Volies dir %s?"

#advanced search
"All sizes";"Tots els tamanys"
"advanced search";"Cerca avançada"
"hide advanced search";"amagar cerca avançada"
"Smaller than";"Menor de"
"Larger than";"Major de"
"All qualities";"Qualsevol qualitat"
"or better";"o superior"
"All years";"Tots els anys"
"Before";"Previ a"
"Last year";"Darrer any"

#metadata
"Artist";"Artista"
"Title";"Títol"
"Author";"Autor"
"Format";"Format"
"Pages";"Pàgines"
"Album";"Àlbum"
"Length";"Duració"
"Bitrate";"Tasa de bits"
"Genre";"Gènere"
"Seconds";"Segons"
"Minutes";"Minuts"
"Sources";"Fonts"
"Source";"Font"
"Height";"Alt"
"Width";"Ample"
"Track";"Pista"
"Quality";"Qualitat"
"Num. of pages";"Nombre de pàgines"
"Include results from:";"Incloure resultats de:"
"Size";"Tamany"
"Unpacked size";"Tamany&nbsp;sense&nbsp;comprimir"
"Colors";"Colors"
"Version";"Versió"
"Name";"Nom"
"Description";"Descripció"
"Files";"Arxius"
"Soundtype";"Tipus de so"
"year";"any"
"years";"anys"
"month";"mes"
"months";"mesos"
"day";"dia"
"days";"dies"
"hour";"hora"
"hours";"hores"
"minute";"minut"
"minutes";"minuts"
"second";"segon"
"seconds";"segons"

#download
"Loading...";"Carregant..."
"Close";"Tancar"
"Share this:";"Comparteix aquest enllaç:"
"share on facebook";"compartir a facebook"
"share on twitter";"compartir a twitter"
"send by email";"enviar per correu"
"Download";"Descarregar"
"Watch";"Veure"
"Your comments";"Els teus comentaris"
"since";"fa %d %s"
"Post comment";"Enviar comentari"
"Add a comment";"Afegir un comentari"
"from";"desde"
"I like it!";"M'agrada!"
"Booo!";"Buuu!"
"Comment published succesfully!";"Comentari publicat amb èxit!"
"Related files";"Arxius relacionats"

#user profile
"User profile";"Perfil d'usuari"
"Choose your password:";"Tria la teva contrasenya"
"Insert your password (yep, again):";"Torna a escriure la contrasenya (sí, un altre cop):"
"Please, fill this form to be a Foofind registered member:";"Si us plau, omple aquest formulari per ser usuari registrat de Foofind:"
"Nickname:";"Àlies:"
"Edit your profile";"Modifica el teu perfil"
"Your profile was edited succesfully!";"S'ha modificat el teu perfil!"
"hello,";"hola,"
"logout";"sortir"
"login";"iniciar sessió"
"Login";"Iniciar sessió"
"new user";"nou usuari"
"New user";"Nou usuari"
"or";"o"
"Register";"Registrar-se"
"(If you are a new user, please";"(Si ets un nou usuari, si us plau"
"register here";"registra't aquí"
"Choose a nickname:";"Tria un àlies:"
"Please, fill this form to be a Foofind registered member.";"Si us plau, omple aquest formulari per ser un usuari de Foofind."
"User login";"Accedir"
"Remember me";"Recorda'm"
"Your location:";"La teva ubicació:"
"Change your password here: (otherwise leave it blank)";"Introdueix una nova contrasenya: (si no la vols canviar, deixa aquest camp en blanc)"
"Save profile";"Desar canvis"
"You are not allowed to view this page";"No tens permisos per accedir a aquesta pàgina"
